STT,Team,Median of Age,Median of Matches Played,Median of Starts,Median of Minutes,Median of Non-Penalty Goals,Median of Penalties Made,Median of Assists,Median of Yellow Cards,Median of Red Cards,Median of xG,Median of npxG,Median of xAG,Median of PrgC,Median of PrgP,Median of PrgR,Median of Gls/90,Median of Ast/90,Median of G+A/90,Median of G-PK/90,Median of G+A-PK/90,Median of xG/90,Median of xAG/90,Median of xG+xAG/90,Median of npxG/90,Median of npxG+xAG/90,Median of Goalkeeping_GA,Median of GGoalkeeping_GA90,Median of Goalkeeping_SoTA,Median of Goalkeeping_Saves,Median of Goalkeeping_Save%,Median of Goalkeeping_W,Median of Goalkeeping_D,Median of Goalkeeping_L,Median of Goalkeeping_CS,Median of Goalkeeping_CS%,Median of Goalkeeping_PKatt,Median of Goalkeeping_PKA,Median of Goalkeeping_Pksv,Median of Goalkeeping_PKm,Median of Goalkeeping_Save%.1,Median of Shooting_Gls,Median of Shooting_Sh,Median of Shooting_SoT,Median of Shooting_SoT%,Median of Shooting_Sh/90,Median of Shooting_SoT/90,Median of Shooting_G/Sh,Median of Shooting_G/SoT,Median of Shooting_Dist,Median of Shooting_FK,Median of Shooting_PK,Median of Shooting_PKatt,Median of Shooting_xG,Median of Shooting_npxG,Median of Shooting_npxG/Sh,Median of Shooting_G-xG,Median of Shooting_np:G-xG,Median of Passing_Cmp,Median of Passing_Att,Median of Passing_Cmp%,Median of Passing_ToDist,Median of Passing_PrgDist,Median of Passing_Short_Cmp,Median of Passing_Short_Att,Median of Passing_Short_Cmp%,Median of Passing_Med_Cmp,Median of Passing_Med_Att,Median of Passing_Med_Cmp%,Median of Passing_Long_Cmp,Median of Passing_Long_Att,Median of Passing_Long_Cmp%,Median of Passing_Ast,Median of Passing_xAG,Median of Passing_xA,Median of Passing_A-xAG,Median of Passing_KP,Median of Passing_1/3,Median of Passing_PPA,Median of Passing_CrsPA,Median of Passing_PrgP,Median of Pass_Types_Live,Median of Pass_Types_Dead,Median of Pass_Types_FK,Median of Pass_Types_TB,Median of Pass_Types_Sw,Median of Pass_Types_Crs,Median of Pass_Types_TI,Median of Pass_Types_CK,Median of Pass_Types_In,Median of Pass_Types_Out,Median of Pass_Types_Str,Median of Pass_Types_Gmp,Median of Pass_Types_Off,Median of Pass_Types_Blocks,Median of GSCreation_SCA,Median of GSCreation_SCA90,Median of GGSCreation_SCA_PassLive,Median of GSCreation_SCA_PassDead,Median of GSCreation_SCA_TO,Median of GSCreation_SCA_Sh,Median of GSCreation_SCA_Fld,Median of GSCreation_SCA_Def,Median of GSCreation_GCA,Median of GSCreation_GCA90,Median of GSCreation_GCA_PassLive,Median of GSCreation_GCA_PassDead,Median of GSCreation_GCA_TO,Median of GSCreation_GCA_Sh,Median of GSCreation_GCA_Fld,Median of GSCreation_GCA_Def,Median of DActions_Tkl,Median of DActions_TklW,Median of DActions_Def3rd,Median of DActions_Mid3rd,Median of DActions_Att3rd,Median of DActions_Challenges_Tkl,Median of DActions_Challenges_Att,Median of DActions_Challenges_Tkl%,Median of DActions_Challenges_Lost,Median of DActions_Blocks,Median of DActions_Blocks_Sh,Median of DActions_Blocks_Pass,Median of DActions_Int,Median of DActions_Tkl+Int,Median of DActions_Clr,Median of DActions_Err,Median of Possession_Touches,Median of Possession_Def Pen,Median of Possession_Def 3rd,Median of Possession_Mid 3rd,Median of Possession_Att 3rd,Median of Possession_Att Pen,Median of Possession_Live,Median of Possession_Att,Median of Possession_Succ,Median of Possession_Succ%,Median of Possession_Tkld,Median of Possession_Tkld%,Median of Possession_Carries,Median of Possession_TotDist,Median of Possession_PrgDist,Median of Possession_PrgC,Median of Possession_1/3,Median of Possession_CPA,Median of Possession_Mis,Median of Possession_Dis,Median of Possession_Rec,Median of Possession_PrgR,Median of PTime_Starts,Median of PTime_Mn/Start,Median of PTime_Compl,Median of PTime_Subs,Median of PTime_Mn/Sub,Median of PTime_unSub,Median of PTime_PPM,Median of PTime_onG,Median of PTime_onGA,Median of PTime_onxG,Median of PTime_onxGA,Median of MStats_Fls,Median of MStats_Fld,Median of MStats_Off,Median of MStats_Crs,Median of MStats_OG,Median of MStats_Recov,Median of MStats_Won,Median of MStats_Lost,Median of MStats_Won%,Mean of Age,Mean of Matches Played,Mean of Starts,Mean of Minutes,Mean of Non-Penalty Goals,Mean of Penalties Made,Mean of Assists,Mean of Yellow Cards,Mean of Red Cards,Mean of xG,Mean of npxG,Mean of xAG,Mean of PrgC,Mean of PrgP,Mean of PrgR,Mean of Gls/90,Mean of Ast/90,Mean of G+A/90,Mean of G-PK/90,Mean of G+A-PK/90,Mean of xG/90,Mean of xAG/90,Mean of xG+xAG/90,Mean of npxG/90,Mean of npxG+xAG/90,Mean of Goalkeeping_GA,Mean of GGoalkeeping_GA90,Mean of Goalkeeping_SoTA,Mean of Goalkeeping_Saves,Mean of Goalkeeping_Save%,Mean of Goalkeeping_W,Mean of Goalkeeping_D,Mean of Goalkeeping_L,Mean of Goalkeeping_CS,Mean of Goalkeeping_CS%,Mean of Goalkeeping_PKatt,Mean of Goalkeeping_PKA,Mean of Goalkeeping_Pksv,Mean of Goalkeeping_PKm,Mean of Goalkeeping_Save%.1,Mean of Shooting_Gls,Mean of Shooting_Sh,Mean of Shooting_SoT,Mean of Shooting_SoT%,Mean of Shooting_Sh/90,Mean of Shooting_SoT/90,Mean of Shooting_G/Sh,Mean of Shooting_G/SoT,Mean of Shooting_Dist,Mean of Shooting_FK,Mean of Shooting_PK,Mean of Shooting_PKatt,Mean of Shooting_xG,Mean of Shooting_npxG,Mean of Shooting_npxG/Sh,Mean of Shooting_G-xG,Mean of Shooting_np:G-xG,Mean of Passing_Cmp,Mean of Passing_Att,Mean of Passing_Cmp%,Mean of Passing_ToDist,Mean of Passing_PrgDist,Mean of Passing_Short_Cmp,Mean of Passing_Short_Att,Mean of Passing_Short_Cmp%,Mean of Passing_Med_Cmp,Mean of Passing_Med_Att,Mean of Passing_Med_Cmp%,Mean of Passing_Long_Cmp,Mean of Passing_Long_Att,Mean of Passing_Long_Cmp%,Mean of Passing_Ast,Mean of Passing_xAG,Mean of Passing_xA,Mean of Passing_A-xAG,Mean of Passing_KP,Mean of Passing_1/3,Mean of Passing_PPA,Mean of Passing_CrsPA,Mean of Passing_PrgP,Mean of Pass_Types_Live,Mean of Pass_Types_Dead,Mean of Pass_Types_FK,Mean of Pass_Types_TB,Mean of Pass_Types_Sw,Mean of Pass_Types_Crs,Mean of Pass_Types_TI,Mean of Pass_Types_CK,Mean of Pass_Types_In,Mean of Pass_Types_Out,Mean of Pass_Types_Str,Mean of Pass_Types_Gmp,Mean of Pass_Types_Off,Mean of Pass_Types_Blocks,Mean of GSCreation_SCA,Mean of GSCreation_SCA90,Mean of GGSCreation_SCA_PassLive,Mean of GSCreation_SCA_PassDead,Mean of GSCreation_SCA_TO,Mean of GSCreation_SCA_Sh,Mean of GSCreation_SCA_Fld,Mean of GSCreation_SCA_Def,Mean of GSCreation_GCA,Mean of GSCreation_GCA90,Mean of GSCreation_GCA_PassLive,Mean of GSCreation_GCA_PassDead,Mean of GSCreation_GCA_TO,Mean of GSCreation_GCA_Sh,Mean of GSCreation_GCA_Fld,Mean of GSCreation_GCA_Def,Mean of DActions_Tkl,Mean of DActions_TklW,Mean of DActions_Def3rd,Mean of DActions_Mid3rd,Mean of DActions_Att3rd,Mean of DActions_Challenges_Tkl,Mean of DActions_Challenges_Att,Mean of DActions_Challenges_Tkl%,Mean of DActions_Challenges_Lost,Mean of DActions_Blocks,Mean of DActions_Blocks_Sh,Mean of DActions_Blocks_Pass,Mean of DActions_Int,Mean of DActions_Tkl+Int,Mean of DActions_Clr,Mean of DActions_Err,Mean of Possession_Touches,Mean of Possession_Def Pen,Mean of Possession_Def 3rd,Mean of Possession_Mid 3rd,Mean of Possession_Att 3rd,Mean of Possession_Att Pen,Mean of Possession_Live,Mean of Possession_Att,Mean of Possession_Succ,Mean of Possession_Succ%,Mean of Possession_Tkld,Mean of Possession_Tkld%,Mean of Possession_Carries,Mean of Possession_TotDist,Mean of Possession_PrgDist,Mean of Possession_PrgC,Mean of Possession_1/3,Mean of Possession_CPA,Mean of Possession_Mis,Mean of Possession_Dis,Mean of Possession_Rec,Mean of Possession_PrgR,Mean of PTime_Starts,Mean of PTime_Mn/Start,Mean of PTime_Compl,Mean of PTime_Subs,Mean of PTime_Mn/Sub,Mean of PTime_unSub,Mean of PTime_PPM,Mean of PTime_onG,Mean of PTime_onGA,Mean of PTime_onxG,Mean of PTime_onxGA,Mean of MStats_Fls,Mean of MStats_Fld,Mean of MStats_Off,Mean of MStats_Crs,Mean of MStats_OG,Mean of MStats_Recov,Mean of MStats_Won,Mean of MStats_Lost,Mean of MStats_Won%,Std of Age,Std of Matches Played,Std of Starts,Std of Minutes,Std of Non-Penalty Goals,Std of Penalties Made,Std of Assists,Std of Yellow Cards,Std of Red Cards,Std of xG,Std of npxG,Std of xAG,Std of PrgC,Std of PrgP,Std of PrgR,Std of Gls/90,Std of Ast/90,Std of G+A/90,Std of G-PK/90,Std of G+A-PK/90,Std of xG/90,Std of xAG/90,Std of xG+xAG/90,Std of npxG/90,Std of npxG+xAG/90,Std of Goalkeeping_GA,Std of GGoalkeeping_GA90,Std of Goalkeeping_SoTA,Std of Goalkeeping_Saves,Std of Goalkeeping_Save%,Std of Goalkeeping_W,Std of Goalkeeping_D,Std of Goalkeeping_L,Std of Goalkeeping_CS,Std of Goalkeeping_CS%,Std of Goalkeeping_PKatt,Std of Goalkeeping_PKA,Std of Goalkeeping_Pksv,Std of Goalkeeping_PKm,Std of Goalkeeping_Save%.1,Std of Shooting_Gls,Std of Shooting_Sh,Std of Shooting_SoT,Std of Shooting_SoT%,Std of Shooting_Sh/90,Std of Shooting_SoT/90,Std of Shooting_G/Sh,Std of Shooting_G/SoT,Std of Shooting_Dist,Std of Shooting_FK,Std of Shooting_PK,Std of Shooting_PKatt,Std of Shooting_xG,Std of Shooting_npxG,Std of Shooting_npxG/Sh,Std of Shooting_G-xG,Std of Shooting_np:G-xG,Std of Passing_Cmp,Std of Passing_Att,Std of Passing_Cmp%,Std of Passing_ToDist,Std of Passing_PrgDist,Std of Passing_Short_Cmp,Std of Passing_Short_Att,Std of Passing_Short_Cmp%,Std of Passing_Med_Cmp,Std of Passing_Med_Att,Std of Passing_Med_Cmp%,Std of Passing_Long_Cmp,Std of Passing_Long_Att,Std of Passing_Long_Cmp%,Std of Passing_Ast,Std of Passing_xAG,Std of Passing_xA,Std of Passing_A-xAG,Std of Passing_KP,Std of Passing_1/3,Std of Passing_PPA,Std of Passing_CrsPA,Std of Passing_PrgP,Std of Pass_Types_Live,Std of Pass_Types_Dead,Std of Pass_Types_FK,Std of Pass_Types_TB,Std of Pass_Types_Sw,Std of Pass_Types_Crs,Std of Pass_Types_TI,Std of Pass_Types_CK,Std of Pass_Types_In,Std of Pass_Types_Out,Std of Pass_Types_Str,Std of Pass_Types_Gmp,Std of Pass_Types_Off,Std of Pass_Types_Blocks,Std of GSCreation_SCA,Std of GSCreation_SCA90,Std of GGSCreation_SCA_PassLive,Std of GSCreation_SCA_PassDead,Std of GSCreation_SCA_TO,Std of GSCreation_SCA_Sh,Std of GSCreation_SCA_Fld,Std of GSCreation_SCA_Def,Std of GSCreation_GCA,Std of GSCreation_GCA90,Std of GSCreation_GCA_PassLive,Std of GSCreation_GCA_PassDead,Std of GSCreation_GCA_TO,Std of GSCreation_GCA_Sh,Std of GSCreation_GCA_Fld,Std of GSCreation_GCA_Def,Std of DActions_Tkl,Std of DActions_TklW,Std of DActions_Def3rd,Std of DActions_Mid3rd,Std of DActions_Att3rd,Std of DActions_Challenges_Tkl,Std of DActions_Challenges_Att,Std of DActions_Challenges_Tkl%,Std of DActions_Challenges_Lost,Std of DActions_Blocks,Std of DActions_Blocks_Sh,Std of DActions_Blocks_Pass,Std of DActions_Int,Std of DActions_Tkl+Int,Std of DActions_Clr,Std of DActions_Err,Std of Possession_Touches,Std of Possession_Def Pen,Std of Possession_Def 3rd,Std of Possession_Mid 3rd,Std of Possession_Att 3rd,Std of Possession_Att Pen,Std of Possession_Live,Std of Possession_Att,Std of Possession_Succ,Std of Possession_Succ%,Std of Possession_Tkld,Std of Possession_Tkld%,Std of Possession_Carries,Std of Possession_TotDist,Std of Possession_PrgDist,Std of Possession_PrgC,Std of Possession_1/3,Std of Possession_CPA,Std of Possession_Mis,Std of Possession_Dis,Std of Possession_Rec,Std of Possession_PrgR,Std of PTime_Starts,Std of PTime_Mn/Start,Std of PTime_Compl,Std of PTime_Subs,Std of PTime_Mn/Sub,Std of PTime_unSub,Std of PTime_PPM,Std of PTime_onG,Std of PTime_onGA,Std of PTime_onxG,Std of PTime_onxGA,Std of MStats_Fls,Std of MStats_Fld,Std of MStats_Off,Std of MStats_Crs,Std of MStats_OG,Std of MStats_Recov,Std of MStats_Won,Std of MStats_Lost,Std of MStats_Won%
0,all,25.0,23.0,16.0,439.0,1.0,0.0,1.0,2.5,0.0,1.1,1.1,1.0,17.0,44.0,30.0,0.07,0.05,0.15,0.07,0.15,0.08,0.07,0.17,0.08,0.17,27.5,1.64,79.0,54.0,0.0,5.5,4.0,6.0,3.0,19.5,2.0,2.0,0.0,0.0,0.0,1.0,12.0,4.0,32.5,1.04,0.29,0.08,0.27,16.3,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,493.0,626.0,78.65,7583.0,2321.5,243.5,275.5,88.6,174.0,211.5,84.5,31.5,60.0,53.2,1.0,1.0,0.9,-0.1,9.0,29.0,8.0,1.0,44.0,566.5,38.0,8.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,493.0,2.0,12.0,25.0,2.1,19.0,0.0,1.0,1.0,1.0,0.0,3.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,9.0,7.0,2.0,9.0,21.0,48.1,10.0,16.0,3.0,11.0,9.0,30.0,18.0,0.0,808.5,36.5,175.5,313.5,171.0,23.0,808.5,17.0,8.0,46.3,7.0,42.9,455.0,2325.5,1149.0,17.0,14.0,3.0,15.0,9.0,509.5,30.0,16.0,82.0,8.0,4.0,20.0,2.0,1.29,24.0,26.0,23.25,24.7,14.0,12.0,1.0,10.0,0.0,62.0,12.0,16.0,46.9,25.51,22.61,16.91,491.25,2.22,0.19,1.73,3.31,0.12,2.43,2.26,1.75,28.79,59.21,58.53,0.14,0.1,0.24,0.13,0.23,0.15,0.1,0.25,0.14,0.25,32.76,1.77,96.03,64.34,9.72,7.84,4.32,7.84,4.13,19.62,2.82,2.53,0.21,0.08,9.72,2.42,20.94,7.16,31.47,1.3,0.45,0.09,0.3,16.52,0.57,0.19,0.22,2.43,2.26,0.1,-0.01,-0.03,633.64,784.88,78.19,10768.32,3809.53,304.56,340.76,88.06,258.58,298.28,82.81,54.05,104.06,54.39,1.73,1.75,1.55,-0.02,15.92,47.19,13.69,2.86,59.21,712.36,69.59,18.87,2.68,4.06,26.56,27.17,8.31,4.06,2.43,0.2,633.64,2.93,14.7,37.26,2.23,27.29,3.1,2.16,2.42,1.55,0.72,4.17,0.25,2.94,0.26,0.3,0.33,0.26,0.08,27.06,15.89,13.12,10.1,3.83,12.57,25.63,47.43,13.06,18.73,5.97,12.76,12.72,39.78,31.46,0.66,958.09,106.88,314.64,409.31,243.06,40.16,957.87,28.64,13.06,47.26,12.53,41.75,548.31,2897.52,1489.94,28.79,20.3,9.18,21.71,14.48,627.18,58.53,16.91,80.1,10.75,5.7,21.27,4.91,1.32,27.62,27.51,26.09,25.99,16.87,16.34,2.91,26.56,0.1,74.03,20.45,20.4,48.34,4.13,10.17,11.18,270.37,3.35,0.84,2.47,2.84,0.34,3.57,3.11,2.19,32.3,57.58,71.18,0.19,0.14,0.27,0.18,0.25,0.18,0.11,0.24,0.17,0.23,22.51,0.72,66.28,45.45,21.94,6.66,3.09,6.54,3.88,14.74,2.64,2.57,0.47,0.27,21.94,3.81,23.09,9.09,18.61,1.1,0.47,0.11,0.26,4.76,1.81,0.84,0.93,3.57,3.11,0.07,1.38,1.36,549.97,634.3,8.34,9777.14,4158.12,263.81,283.39,6.86,254.6,275.02,10.31,63.73,132.32,15.17,2.47,2.19,1.89,1.13,18.48,50.34,16.16,4.38,57.58,584.47,87.19,27.42,4.54,5.94,42.3,54.73,23.04,11.75,8.81,0.93,549.97,3.12,13.27,37.65,1.47,26.96,7.64,3.42,2.95,2.26,1.13,4.96,0.27,3.54,0.8,0.74,0.72,0.64,0.29,23.83,14.23,13.15,9.58,4.01,12.1,22.8,20.27,12.2,15.34,7.95,10.82,12.7,34.86,36.09,1.1,716.12,200.81,347.91,369.3,239.46,47.38,716.0,32.87,15.44,19.2,14.89,18.99,435.59,2281.77,1258.7,32.3,19.98,16.0,20.96,16.06,508.32,71.18,11.18,9.0,10.23,5.2,9.69,6.43,0.6,20.4,18.28,18.25,17.05,13.69,15.71,4.64,42.3,0.33,55.89,23.82,20.97,21.54
